Proposer,Voters
,0xbE549Bb63A6bD56908c5e5740d1e5bF5192d5e2d
,0xC0c3505c654678fE1Bf95a6f2D9Fd833f0dA0E25
,0xB2F3f70235Df15D7A95C5d10504B52091B36c0aA
,0x6696266f491b6Af7974F26f9D659671DDeF318Fd
,0xD2d25c03F2C1D3a70ac205b5474ffd878B1903A3
,0x9Cb48920F87bBb1FedBA7b86EeaFBA2F32E09001
,0x4F76b4077e171B26771200269E3d5D7a84752Cca
,0xeB29a76edbfDD659dC8A81BAC897C190686F0dC7
,0x35B602D67027c372C0962658417015a36101fF14
,0xd6B4384E856f2BF07dDf4991Cd3aEb84275BA31E
,0x421990d6363ee833c379385856CC428671A0657b
,0x94d1DC7D946CeA207b073B4F026Ca37B777fE73B
,0x50e4cfC1Ba8e45c63C2534B6B1d8d2Ee8814B1aa
,0xb6669fca0E0c32879fA208f99A4151965eB28787
,0x329A0B1C47C8D27378F74c74D177781654417025
,0xA286d5096e636603bB31dD764566dAc530d3c69D
,0xACbEcaD71Ba419D3Cff51C3A69563Be4d4645e55
,0x5dD59019cC69593030569A8d5Add020095E366E6
,0xca7356eB6564BAf4E2811A4Adabd56b5e63823ae
,0x9b172C1E45B98709124DfAC28DcaDA6476fbC1fA
,0x24Bb3d20e50054E9345c829f0D2082c679363F91
,0x2B8f8657cc7C30A333CD68Adc583523369351791
,0xC388de4D8BdBB204bfb1Fd946416a2Edd2341BcF
,0x21E75f7435176eE083254E3D2Cd01d91d09CC8E8
,0xCB6e4648a69F160FcF07992f85bccb76f21325Bf
,0x0a403b352E5130899A9056f9009646F1B43ce1f5
,0x443255AF0FFE8EC1634811B627571FDB1f1ac804
,0x1c669458A500FfD561d1268F16d8488e67D4D396
,0x15E7BefCf18D10563b1f4f5416C7163e879D9e19
,0x0FD4AbF853B051838A75CC9a3c5561264Dda28df
,0x1b1A2ba98371D9E6D08DD718615EC62956650F54
,0x8Eaf414804047e909471247c76266B7DF458265b
,0x15b41F9cf40E683772B182e73F2B42339Dd82BC6
,0x33aEdad9719B81D5AdBcDcB12933e58c658c5e12
,0x7bc09fAc465e9CA517a8b7722f22223dc726732e
,0x442724638E37a44B9C2382708e0dBCa700Fdfc8d
,0xbd6AD74308cB63BAE16E3A7C0D7597AAAeD4c09b
,0x2C2159525f73f8240B1E4FBD6c6D53D0Ab26a512
,0xb20e0763bCD3BA5Ed9aD9B4f55d97b34D4D3bcf7
,0x59E3209cbC12061D249bE3CB157A603c0bDc4128
,0xb85114287196183BE3bE968b8b2F0AfFcfF0DEB7
,0x84DF26b640239Ec5DdDadE55D53D2279376D10A9
,0x6AC26C55641Edd593c9B0243D5037237d7bC6D69
,0xc2531d608373D49c9C2C722229adDc42a201dF8f
,0x6A00B6Fb59809e2515612af627Ea0757F622bebd
,0xE0b4643bB55D533c2F22F9F3aB419AD19B5D9A72
,0xBD8E7a2eDD867EaFCE3a44A7442C30EBE4D26c96
,0xf5aE6399013647957c53F31313C32eB57d057eB7
,0xa51fAB99348B58082154A96FD2a7D92600a0E930
,0x9Ba0f1259a47B906a4f5b0e838eb98ccc1B8BA8e
,0x4E1b9c4488eB865De3c436F9e0306E55A69dC593
,0xC1D74654A45723C7Cf1C7041Ca27983B85c64534
,0xa87a36C6DC581e0f7b9637De0167C732f7B740cb
,0xbFA6Ce0a96C9dEd890A455b0f93c7Cf0d89b759D
,0xF4cF644d3EC327E7B5CCD881F0b118E6031E3EA1
,0x511e27f29c769De9D269b33F922B13823b800EB5
,0x3c8da5C181e9bFd2D003Cfbd14780029D21B4113
,0x7a13904c0254B00fFFD1C22Fa18b93158B6deFC0
,0xb8cD530F2E3d17f919618a99d07BA03057cE86fC
,0xb37b1fEfC0844aF3CBd6973D4beCb608643a9Ffe
,0x79Ebf881dDeD7c973D9a8E50E7070D01eF5266dA
,0x74Ed5a76cFdDa1E745ed19Ba75Db7481B003aa32
,0x3C1A7eE6B20667ea96452399Cc59693ed72FAe60
,0x43691088F9a99554a1088d3035225F883188c0b6
,0xD0d4bB2aD68E8dE249dbD7b8E742420689Ec9754
,0x9e49d191a6C95c8259d731F653A74D2D4E20Be69
,0x460225b9D95b3F123d23EDF020Ff137120D66A1A
,0x6Ddb7DB6EeABE99E9005B9370821ac3491d52a2D
,0x804Bc48c4BdA928E6f59224a2E4C10168E3b560d
,0x779C0Eb98bda25959c823e16000182f03900df37
,0x9889F3FcF711A8560e9C33d7815EAc2393237e69
,0xaAd86FC3C86080E77cf26BEe8bC2F5BA63F79abC
,0xE458c99B8101dF0857122d1114B2E113A2EbE15D
,0xE1E335719be7248E5557Bc453DC0Bd3D61f9Dea9
,0xE967475eeAad934AE8C2d282D02796f75aAdEb63
,0x81925c2bb24d6ce9Ca0d913bAb9612713eE2D1ad
,0x811bA4E6da51ABA2A2aB9044a7d79faF9Dd33010
,0xd52De5B40749bFeDa1ae41526c0868973452120a
,0xe0399b88C3AF9fa5AaDCA37bB13000de3E41A890
,0x998B04C88bA3A8cAEc78974d42039a7744E02fD3
,0x5c2B0609030590F8A8218F5a82A7D21eE7E7596E
,0xB53bB54045E1b55085f37e2d4454fB72d8a23d4E
,0x1786D033D5CbCC235B673e872c7613c2F83DA583
,0x5455AbF783C90b7CFB3006d499fFC043a70Da19c
,0x51Ed44315c4385d3Fe66a3664A74790237b4d749
,0x3A904dFb08c2796A0E5528D906aAb5d05FFDcDd6
,0x4Dd55D4a30533Be52B9931bf983Eb56d29E6507b
,0xf46FfF585954287da1A8f1c8A4C49B8190F22796
,0x86fC12d1abf58FF90cB18809F48560F1c62Bdc5A
,0xB7909A66288D94322B3740680779BB00cDdA77d0
,0x21bf7f44a4a336C58aDEd67C12f027D4C7e9F9EC
,0xe298357bBfA4273DC14bcFc4a7de15091649eC45
,0x2142675dE8456CE6fe92C0e3B5BdF014dE9E1F64
,0xE6f7b8b3Eeb4609d13B381273199138910404826
,0x22E78b2f58123BFF10Ba2431eB4eC2999FCc582D
,0x5B698ca20bF6bbd2ae39224dA52E6b7E5f9a917a
,0x51303855d56cCC90696E19F06c9D1853241BF961
,0x4c99CB95545E1F91C62910c144D32F7E44B923bd
,0x1554828F5a6D46Bb2295c4C1c92aB7839fbCbA7C
,0xdF9629DaAa0407F340ED5877c54078562d745D39
,0xa3e9B7e2Cc8Dd20837D97E53359584434BDB177A
,0x04A0264c74a89B8Dd00748C1ffA146436b0E2aD3
,0x6D120b5eD7a3527dCCA45687B38FaaE271d3a052
,0x884FC4Ceb11Df3E57536D42bEb82587f490b8cbF
,0x23774508724033e5bfA1f5E8AD2D5B78aaF0c5A5
,0x7fea978B686d85831Ad9b9C66a8A2f90Dc8c1dB3
,0x19c9027a2D7Fa3549A3659A25ae43fdd8756DEA6
,0x0C939B7fe9a850fF569E0E0b79b6efDaE11802Ca
,0x71871F8d560B0Ed56D657211F68d6654dB65c2Dd
,0xA8540D3880BCc9244EbfD17Fc06B6E02d5d8c831
,0x17938c048aBd322A7931fFADC65B1170859E5E48
,0xF0854C4dC9d3f1EBD4f0e44eb91587F7fc5Bd518
,0x7b9bdbFc5E3Da7814e50b9346cB62DbEC3c0d1B9
,0x0A1EFDd9B01CF62806800e81682EcD074f11c750
,0x5cC3039bB04163bd9b17220FC29eF1Ab2faCEC13
,0x134637DE9A02fB65E72CE67C3978dC297378a387
,0x19e39E85b9992A4af9ddC5fe35CE1b50BcB22de6
,0x3983c4eF6022CeE9469327c8BA5ACC370c007cD9
,0xCFA5FE3213f77Cf6247ee70B5a53D491B057443b
,0x2Ee11Ee6CA275FcD56fCe3BD9a3704DAEDBd6167
,0xa967662202253e3B14198CcaCCd49F1EC0ED40AE
,0x61b9ff38cA19E889211BD0c011eBee08BF1405EE
,0x021B2dd8CC173aA689391e980fB1351002AB4130
,0x390BD8dD895115b91D2D435f973277BB52A66476
,0xfc1fB18e410D844e46Dbe31e43986bB9aD8258d3
,0x440488B547D54d4723F4327372Fec3E97b6b4682
,0xB50cBa8F1C2f98f5Eb70cf202972ACD094E301b1
,0xB2A7D6669A1cEC1946f120b938710E5613b5Be89
,0x1DB1C513D440A367b431556BB9AE176d0D3e4A32
,0xcBB71f48A0c51729D1A967216484B3668873bDFa
,0x74d41fBe9fB3755CEf01BAd06AaD2771A6f0A5AE
,0x52C04D19595b849ea986b339f93CDc6518E6a3f8
,0xC4Ef55713782eDE0eb3B9FFe66A4258519066a70
,0xCe331A1E71e545877808D48Ee5E07eAB8a776dbC
,0x4Fb7F12C601e37219f334e087D10151A16ef9890
,0x2501D414550a852C6437474a628d7cd33fA940C1
,0x434F290728B2e0aD408DFFaae925717B2634394c
,0x6d2694e2ED55CF8eD10e82939f5e9b7fBCc618Cb
,0x52b67d4253f6bbF37cB6C6b3056775093F4C23BE
,0x4f20669ca233b44832e4bAbc864f8960b76D186d
,0x2d219397d20Dc0B39E0b674BcF87EFfE4292FD3A
,0xACAc06e9BD955be1e68b398Ba03CDf7cFdd2E052
,0x5Bf28EBA3FA9c634A464F7ADD20704fc02C15DC6
,0x381a4ff2590f3E15e8fAFc439652Be66e35432Dc
,0x8fceA829681C567377ca572A4A7406bA04F4Be0d
,0x1fB07763b64B38212022Aa0a232C31FA298Ba64E
,0x4798E19E99BE495D46eBbd08b74A6A5cefe4D103
,0xAcD84305fec8cAA151B0251cAe31fa15fEAAF49D
,0x1b018b0E4C7cC79EC6736071bD83297892ba5ef6
,0x28A300195C21E782068E8A000Ad66045006e7914
,0x47144e8B55f6E3a1283daAB30F13aaA69bFa6464
,0x6b29975137d7dE522bF6C4615051370C55820b3E
,0x35523C3E51f9871Db8b18aC139912fa12DAEaC6B
,0x5203420383945fB87e8572177AFb8aEe75d10493
,0x985f8B603f62A4cC5d334b3cf35DB6d2f06Ed0ea
,0x5336433D2D2Cc47012a26814d22799FCD1552839
,0xf5234DFa6ea2DBCf4dBCB97d54207C8d9FB0f8c6
,0xF64DB114ba554577faB5CefecBCA230aF8ac98C2
,0x707975Bf8B432aD336b45f9a6c81297b9F7C7e88
,0xE08084709b2145a84742F1aec1765eC42033dCd3
,0xc65D9D875caD07Ca8C6BB7d0Ff1E148d5a16aF0A
,0x86F0074531bF1Ce3A422519b7E1EAf49aF5CBF10
,0xC4b145185c7A0bADb7a8a4ecF4B78bDB00baBE2f
,0x54248F3F5541d3dCB775E0b3556cF4b8B33c8031
,0x2C9E4774BDE1DF473A55402ecc048C4b816B7968
,0x79D03409C179B127b1dc578647aAD8F87b75C2Cd
,0xF3cFB7AE03489236bDBdCc0Be35160071D440c0F
,0x85d07C6FC93664c89FDe97AB452df98B6D8ac82f
,0xc616D1dcD74453c29EeDA0C552F1C6E5bba111d0
,0x2FC13b9B8C68bEf1084AC9cAEc438f9Bf9cA965E
,0xB6E3E119872F05c7198cc168B40f0B4D153290F1
,0xb8e4d0867e9c9DE9F3EF2772f4E421312cE2dfCd
,0xc6ce3D45a8e4FF9442CaD10F7af8e6cCc7788F35
,0xD9701bF62E33dc2aa68b3a30C87401B62589EA53
,0x85E307796738e4814ce485aEd80a2b2011bFE068
,0xA8d2DE212BFF8a78f2587084DFC41A949FF23bda
,0x19472889E352284F2bb1DDbdC515b56A591D41c5
,0x1EadfF6FE8A0E6a4bdb6C4F288d110cbd5Ec6771
,0xFc57FAD786A886D1f79124146136bBe638235869
,0x4D784561cA092f65D8fbDc2697be12c431C2c64c
,0x90928f242d6AE240bcd30924d2e9CF268C3C1350
,0x04D0EbBc816268F977d49DadbEceDea102E03573
,0xFc19D3bE80b6Aad4dA376D54416B8981d721001B
,0xd44e689E0856684a019c92F6286591De7fC27e15
,0x31723b51AFD745668d5CBD3E815324f5E4c6a7CF
,0xd0Ce31480C851c84B0E76c19dCaC6dA121Ab1E9f
,0xe76B05c5b5dF1981f5c517b2b0bff3AfbFcAC5E7
,0x01675E70771bA3f69564005df40eD866E9b389b1
,0xA021c0467B72f519e4cf182554dd47F208F491a7
,0xdf905cc5767b06C2f115b7657d912d744Fe73b69
,0x508574937129a50a2c8A062c0aD40ff058506C6B
,0x32C45f96683f4331D38d6D1E9de769226e182789
,0x2a58CcaA4669569Aa8C3d14cD276FB109cEbc9fa
,0xcAFb225517b02E80F96C5C30002Eab9b1D59b6C4
,0x9A32a757D07bE3C302FD791E714C3C7EbeD06d50
,0x575587E87cBB726034584098aB7a0f77213Ab3bc
,0x7A0229DFA1cFE0c6B37D2910c68b3bf46a3CA49f
,0xA1C9AAf5f6b22D61070ADdf6Ea536CBb5aB2EB34
,0x00Eb071c7331333103d8356b462D2f8bE2214C6E
,0xDCfA159df1CA18ecd41FA6790C3dD0652FB6227d
,0x9fd7e58916Aa141adFE06E1284F2a7cBDB27b58f
,0x526b43BA26044111b994bcE67a8CB9E91C81F425
,0x9D125FF6C72857BaC94feb721a0F00BCe73222Ea
,0x32eB2BC10156C4465bBb0bc3499597239f7cD22F
,0x298B8B8FB8998c258B9E1332AA682f27AFf63056
,0x7B21be07Dab83A793f646d5A36098068Fe0Cd447
,0x7F7507c6C4B36f9835D54303e1C9ed3E5cf35d8a
,0x0E38C222F30cCf72f43FfA7a8aaf4713BF958CCC
,0x96cb1c3f9Cd061a5a8c4E0A33990E6FD7455283B
,0x12000C32E49e50Cf4788dEbc2832f1b4Dc17eb9a
,0x75011dE74f3235766dF5273dA96A9815CD5c3874
,0x8DEe968276875B9d2bA0dAf7dfA4553a1c23fFbf
,0xe374e2B58B19d83c57806da836801011170750C8
,0xc43237cc9c4593D5d354a9EB4c249d74000F270E
,0x3d2453Ab16dc3f2F1901d3fC300f30Cc101b7D72
,0x4150ccd5D0BF3c349420C74c9314E9A9B55B075C
,0x23fD91F164e543685aa063d06f4813d28460b1f9
,0x0492291122156BC4F73377A74DbF1CEaEE51c4D4
,0x97e5904297e6288489EF3dd86624C6875966CEA7
,0x4bEcE452059d9572dDC6FdcF9e6d2924B80564f8
,0x1707DA92f8EA28C2CE24f3b8E61A7B9F15a86f03
,0x8A89378D982A9d46F91B487eCC28400464CAb098
,0x449D302933464a10EaFAB9f9df665A8540CDD2DF
,0xCE9f27ed06804f336e2967289218cbD10F05F407
,0x2DB3C85e9b39c2bdAe4AC5E3ae9b8E18798e8617
,0x78d6742570dE6ccDf5C52c668F911632B0d0E342
